spot	L2/3 IT CTX-1	L4/5 IT CTX	L5 IT CTX	L5 NP CTX	L5 PT CTX	L6 CT CTX	L6 IT CTX	L6b CTX	Lamp5	Sst	Vip
14000_29200	0	0	0	0	0	0	0	0	0	2	1
14000_30000	0	1	1	1	0	0	0	0	0	0	0
14000_30800	1	0	0	0	0	0	0	0	1	1	0
14000_31600	0	1	0	0	0	0	0	0	0	1	1
14000_32400	0	3	1	0	0	0	0	0	0	0	1
14000_33200	0	7	0	0	0	0	0	0	0	0	0
14000_34000	0	3	0	0	0	0	0	0	0	0	0
14000_34800	0	6	1	0	0	0	0	0	0	0	0
14000_35600	0	8	0	0	0	0	0	0	0	0	1
14000_36400	0	8	1	1	0	0	0	0	0	0	0
14000_37200	4	1	0	0	0	0	0	0	1	0	0
14000_38000	2	2	0	0	0	0	1	0	0	0	0
14000_38800	3	0	0	0	0	0	0	0	0	0	0
14000_39600	5	0	0	0	0	0	0	0	0	0	0
14000_40400	6	0	0	0	0	0	0	0	0	0	1
14000_41200	3	0	0	0	0	0	0	0	0	0	0
14000_42000	0	0	0	0	0	0	0	0	0	1	0
14000_42800	0	0	0	0	0	0	1	3	0	0	0
14000_43600	0	0	0	0	0	0	0	1	0	0	0
14000_46800	0	0	0	1	0	0	0	0	0	0	0
14800_20400	0	0	1	0	0	0	0	1	0	0	0
14800_21200	0	0	0	0	0	0	0	3	0	0	2
14800_22000	0	0	0	0	0	0	0	3	0	0	0
14800_22800	0	0	1	0	0	0	0	0	0	0	1
14800_23600	0	0	0	0	0	2	0	0	0	0	0
14800_24400	0	0	0	0	0	4	0	2	0	1	0
14800_25200	0	0	0	0	0	4	0	0	1	0	0
14800_26000	0	0	0	0	0	5	1	0	0	0	0
14800_26800	0	0	1	0	0	4	1	0	0	0	0
14800_27600	0	0	0	0	0	1	1	0	0	1	1
14800_28400	0	1	0	0	0	1	0	1	0	1	0
14800_29200	0	2	0	0	0	0	0	0	0	1	1
14800_30000	0	0	0	0	1	0	0	0	1	1	1
14800_30800	0	0	1	0	0	0	1	1	1	0	0
14800_31600	0	0	0	0	0	0	0	0	0	1	0
14800_32400	0	6	0	0	0	0	0	0	0	0	0
14800_33200	0	4	1	0	0	0	0	0	0	0	1
14800_34000	0	9	0	0	0	0	0	0	0	0	0
14800_34800	0	5	0	2	0	0	0	0	0	0	0
14800_35600	0	5	0	1	0	0	0	0	1	0	2
14800_36400	1	6	0	0	0	0	0	1	0	0	1
14800_37200	3	0	0	0	0	0	0	0	0	0	0
14800_38000	3	0	0	0	0	1	0	0	1	0	0
14800_38800	1	0	1	0	0	0	0	0	0	0	0
14800_39600	5	0	0	0	0	0	0	0	0	0	1
14800_40400	7	0	0	1	0	0	0	0	0	0	1
14800_41200	0	0	0	0	0	0	0	0	1	0	1
14800_42000	0	0	0	1	0	0	0	0	1	0	0
14800_42800	0	0	0	1	0	1	0	2	0	0	0
15600_20400	0	0	0	1	0	0	0	2	0	0	0
15600_21200	0	0	0	0	0	0	0	2	0	0	1
15600_22000	0	0	0	0	0	1	0	2	0	0	0
15600_22800	0	0	0	0	0	3	0	0	0	0	0
15600_23600	0	0	0	0	0	3	0	3	0	0	0
15600_24400	0	0	0	0	0	4	1	0	0	2	0
15600_25200	0	0	0	0	0	3	1	0	0	0	0
15600_26000	0	1	0	0	0	3	1	3	0	0	0
15600_26800	0	1	0	1	0	5	0	1	0	0	0
15600_27600	1	3	0	1	0	0	0	0	0	0	1
15600_28400	0	1	0	0	0	0	0	1	1	0	0
15600_29200	2	1	0	1	2	0	0	0	0	1	0
15600_30000	0	0	0	0	1	0	0	0	0	0	0
15600_30800	0	1	0	2	0	0	0	0	0	0	0
15600_31600	0	4	0	0	0	0	0	0	0	0	1
15600_32400	0	8	1	0	0	0	0	0	0	0	2
15600_33200	0	6	0	0	0	0	0	0	0	0	0
15600_34000	0	5	0	0	0	0	0	0	0	0	0
15600_34800	0	6	0	1	0	0	0	0	0	0	0
15600_35600	0	7	0	0	0	0	0	0	0	0	0
15600_36400	0	11	0	0	0	0	0	0	0	1	0
15600_37200	6	1	0	0	0	0	0	0	1	0	0
15600_38000	1	0	0	0	1	0	0	0	0	0	1
15600_38800	3	0	0	0	0	0	0	0	0	0	0
15600_39600	3	0	0	0	0	0	0	0	0	0	1
15600_40400	1	0	0	0	0	0	0	0	0	0	0
15600_41200	0	0	0	0	0	0	0	0	1	0	1
15600_42000	0	0	0	1	0	0	0	1	1	0	0
16400_20400	0	0	0	0	0	0	0	1	0	0	0
16400_21200	0	0	0	0	0	2	0	5	0	0	2
16400_22000	0	0	0	0	0	3	0	0	0	0	0
16400_22800	0	0	0	0	0	4	0	3	0	0	0
16400_23600	0	0	0	0	0	8	0	1	0	0	0
16400_24400	0	0	0	0	0	5	0	0	0	0	2
16400_25200	0	0	0	0	0	3	1	0	0	0	0
16400_26000	0	0	0	1	0	3	0	0	0	0	1
16400_26800	0	2	0	0	0	3	0	0	0	2	0
16400_27600	0	0	0	0	0	0	0	1	0	1	0
16400_28400	0	2	1	1	2	0	1	1	0	1	0
16400_29200	0	0	2	0	2	0	1	1	0	2	0
16400_30000	0	0	0	0	0	0	0	0	0	1	0
16400_30800	2	2	0	0	0	0	0	0	0	0	1
16400_31600	0	4	0	0	0	0	0	0	0	0	0
16400_32400	0	7	0	0	0	0	0	0	0	0	1
16400_33200	0	11	0	0	0	0	0	0	0	0	0
16400_34000	0	4	0	1	0	0	0	0	0	0	0
16400_34800	0	2	0	0	0	0	0	0	0	0	0
16400_35600	0	5	1	0	0	0	0	0	0	0	0
16400_36400	1	2	0	0	0	0	0	0	0	0	0
16400_37200	7	0	0	0	0	0	0	0	0	0	0
16400_38000	4	0	0	0	1	0	0	2	0	0	2
16400_38800	1	0	0	0	0	0	0	0	0	0	0
16400_39600	2	0	0	0	0	0	0	0	2	0	1
16400_40400	0	0	0	0	0	0	0	1	0	0	0
16400_41200	0	0	0	1	0	0	0	0	0	0	0
16400_42000	0	0	0	0	0	0	0	3	0	0	0
17200_20400	0	0	0	0	0	2	0	2	0	0	0
17200_21200	0	0	0	0	0	3	2	0	0	0	0
17200_22000	0	0	0	2	0	5	0	4	0	0	0
17200_22800	0	0	0	0	0	5	0	1	1	0	0
17200_23600	0	0	0	0	0	10	0	0	0	0	0
17200_24400	0	0	0	0	0	0	2	1	0	1	0
17200_25200	0	1	2	0	0	2	4	6	0	1	0
17200_26000	0	2	0	0	0	2	0	1	0	0	0
17200_26800	0	1	0	0	0	0	0	0	0	0	1
17200_27600	0	0	0	0	0	0	0	0	0	2	2
17200_28400	4	0	0	0	0	0	0	0	1	0	0
17200_29200	0	0	2	0	0	0	0	0	0	2	0
17200_30000	0	4	0	0	0	0	0	0	0	0	0
17200_30800	0	3	0	0	0	0	0	0	0	0	0
17200_31600	0	9	0	0	0	0	0	0	0	4	0
17200_32400	0	10	0	0	0	0	0	0	0	0	0
17200_33200	0	12	0	0	0	0	0	0	0	0	2
17200_34000	0	9	0	0	0	0	0	0	0	0	0
17200_34800	0	3	0	0	0	0	0	1	0	0	2
17200_35600	3	7	0	0	0	0	0	0	0	0	0
17200_36400	3	3	0	0	0	0	0	0	0	0	0
17200_37200	9	0	0	0	0	0	0	0	0	0	0
17200_38000	7	0	0	0	0	0	0	0	0	0	2
17200_38800	2	0	0	0	0	0	0	1	0	0	1
17200_39600	0	0	0	0	0	0	0	0	0	0	1
17200_41200	0	0	2	0	0	0	0	2	0	0	1
18000_20400	0	0	0	0	0	3	0	2	0	0	0
18000_21200	0	0	0	0	0	2	0	1	0	0	0
18000_22000	0	0	0	0	0	4	1	0	0	0	0
18000_22800	0	0	0	0	0	2	0	0	0	0	0
18000_23600	0	0	0	0	0	3	0	0	0	0	1
18000_24400	1	1	1	0	0	2	0	0	0	0	0
18000_25200	0	1	0	0	0	0	0	0	0	0	0
18000_26000	0	0	1	1	1	0	0	1	0	0	1
18000_26800	0	0	1	1	1	0	1	2	0	0	0
18000_27600	0	0	0	1	0	0	0	2	0	2	0
18000_28400	0	1	0	1	1	0	0	0	0	0	0
18000_29200	0	2	0	2	0	0	0	1	1	0	1
18000_30000	0	2	0	0	0	0	0	0	0	0	0
18000_30800	0	9	0	0	0	0	0	0	0	0	0
18000_31600	0	8	0	0	0	0	0	0	0	1	0
18000_32400	0	6	0	0	0	0	0	0	0	0	0
18000_33200	0	5	0	0	0	0	0	0	0	0	0
18000_34000	0	7	0	0	0	0	0	0	0	0	0
18000_34800	0	5	0	0	1	0	0	0	0	0	1
18000_35600	0	2	0	0	0	0	0	0	1	0	0
18000_36400	4	1	0	0	1	0	0	0	0	0	0
18000_37200	1	0	0	0	0	0	0	0	1	0	1
18000_38000	5	0	0	0	0	0	0	0	0	0	0
18000_38800	1	0	0	0	0	0	0	2	0	0	0
18000_39600	0	0	0	0	0	0	0	1	1	0	0
18000_40400	0	0	0	0	0	0	0	3	1	0	1
18800_20400	0	0	0	0	0	2	1	0	0	0	0
18800_21200	0	0	0	0	0	1	0	2	0	0	0
18800_22000	0	0	0	0	0	0	0	2	0	0	0
18800_22800	0	0	0	0	0	0	1	0	0	1	0
18800_23600	0	0	0	0	0	1	1	0	0	0	0
18800_24400	0	0	1	0	0	0	0	0	0	0	2
18800_25200	0	1	0	0	0	1	0	1	0	0	0
18800_26000	0	0	0	0	0	0	0	1	0	0	1
18800_26800	0	0	0	0	0	0	0	0	1	1	0
18800_27600	0	2	1	0	0	0	0	0	2	0	0
18800_28400	0	0	1	0	0	0	0	0	0	1	0
18800_29200	0	2	0	0	0	0	0	0	0	0	0
18800_30000	0	7	0	0	0	0	0	0	0	0	0
18800_30800	0	1	0	0	0	0	0	1	0	0	2
18800_31600	0	3	0	0	0	0	0	0	0	0	1
18800_32400	0	4	0	0	0	0	0	0	0	1	0
18800_33200	0	6	0	0	0	0	0	0	0	0	0
18800_34000	0	2	0	0	0	0	0	0	0	0	0
18800_34800	0	4	0	0	0	0	0	0	0	0	2
18800_35600	4	0	0	0	0	0	0	0	1	0	0
18800_36400	1	0	1	2	1	0	0	0	0	0	0
18800_37200	2	0	0	0	1	0	0	1	1	0	2
18800_38000	1	0	0	0	0	0	0	0	1	0	0
18800_38800	0	0	0	0	0	0	0	0	0	1	0
18800_40400	0	0	0	0	0	0	0	0	0	0	1
19600_25200	1	0	0	0	0	0	0	0	0	0	0
19600_26000	0	0	0	0	0	0	1	1	0	0	0
19600_26800	1	1	0	1	0	0	0	0	0	0	0
19600_27600	0	1	0	0	0	0	0	0	0	0	1
19600_28400	0	5	0	1	0	0	0	0	0	0	0
19600_29200	0	2	0	0	0	0	0	0	1	1	0
19600_30000	0	9	0	1	0	0	0	0	0	0	0
19600_30800	0	5	0	1	0	0	0	0	0	0	0
19600_31600	0	3	1	4	0	0	0	0	0	0	1
19600_32400	0	11	1	0	0	0	0	0	0	0	0
19600_33200	0	7	0	0	0	0	0	1	0	0	0
19600_34000	0	6	0	0	0	0	0	0	0	0	1
19600_34800	2	0	0	1	0	0	0	0	0	0	0
19600_35600	3	1	0	0	0	0	0	1	0	0	0
19600_36400	5	0	0	0	0	0	0	0	0	0	0
19600_37200	4	0	0	0	0	0	0	0	1	1	0
19600_39600	0	0	0	1	0	0	0	1	0	0	0
20400_25200	1	0	0	0	0	0	0	0	0	0	0
20400_26000	0	1	0	1	0	0	0	1	1	1	0
20400_26800	0	2	0	0	0	0	0	0	0	0	0
20400_27600	0	2	0	0	0	0	0	0	0	0	0
20400_28400	0	1	0	3	0	0	0	0	0	0	0
20400_29200	0	6	0	0	0	0	0	0	0	0	1
20400_30000	0	3	0	0	0	0	1	0	0	0	0
20400_30800	0	4	0	0	0	0	0	0	0	0	3
20400_31600	0	8	0	1	0	0	0	0	0	0	0
20400_32400	0	8	0	0	0	0	0	0	0	0	1
20400_33200	0	6	0	0	0	0	0	0	2	0	0
20400_34000	1	5	0	0	0	0	0	0	0	0	0
20400_34800	2	2	0	0	0	0	0	1	0	1	0
20400_35600	4	0	0	0	0	0	0	2	0	0	0
20400_36400	3	0	0	0	2	0	0	0	0	0	0
20400_37200	1	0	0	0	0	0	0	0	1	0	1
20400_38000	0	0	0	0	0	0	0	0	0	2	0
20400_38800	0	0	0	0	0	0	0	0	0	0	2
20400_39600	0	0	0	0	0	0	0	1	0	0	0
21200_31600	0	11	0	2	0	0	0	0	0	0	0
21200_32400	0	14	0	0	0	0	0	0	0	0	0
21200_33200	0	8	0	0	3	0	0	0	0	0	0
21200_34000	4	2	0	0	3	0	0	0	2	2	0
21200_34800	0	1	0	0	0	0	0	0	0	1	0
21200_35600	2	0	0	0	3	0	0	4	0	0	0
21200_36400	2	0	0	0	0	0	0	2	0	0	2
21200_37200	0	0	0	0	0	0	0	0	0	0	2
21200_38000	0	0	0	0	0	0	0	0	0	2	0
21200_38800	0	0	0	0	0	0	0	0	0	0	2
22000_31600	0	1	0	0	0	0	0	0	1	0	0
22000_32400	0	5	0	0	0	0	0	0	1	0	0
22000_33200	0	4	0	0	0	0	0	0	0	0	0
22000_34000	1	4	0	0	0	0	0	0	0	0	0
22000_34800	8	0	0	0	0	0	0	0	0	0	1
22000_35600	1	0	0	0	0	0	0	1	2	0	0
22000_38000	0	0	0	0	0	0	0	0	0	0	3
22000_39600	0	0	0	0	0	0	0	0	0	0	1
22800_31600	0	2	0	0	0	0	0	0	0	0	0
22800_33200	0	2	0	0	0	0	0	0	0	0	0
22800_34000	1	1	0	0	0	0	0	0	0	0	0
22800_34800	1	0	0	0	0	0	0	1	0	0	1
22800_35600	0	0	0	0	1	0	0	0	0	0	0
22800_37200	0	0	1	0	0	0	0	3	0	0	0
23600_37200	0	0	0	0	0	0	0	5	0	0	0
